type,layer,text,x,y,rotation,height
MTEXT,0,{\Fisocp|c0;R-1000},737921.2016960005,65922.10372645393,0.0,
MTEXT,0,{\Fisocp|c0;45%%D},738359.9333499254,65922.10372645418,0.0,
MTEXT,0,26,734843.1295113666,65640.90754564595,0.0,
MTEXT,0,{\Fisocp|c0;-},736782.5025471207,65612.99284249311,0.0,
MTEXT,0,{\Fisocp|c0;04},738722.4799042228,65584.28507506789,0.0,
MTEXT,0,{\Fisocp|c0;SELF ACTUATING SWITCH RH},735642.5856286194,65562.74483125831,0.0,
MTEXT,0,{\Fisocp|c0;R-1000},737921.2016960005,65584.28507506811,0.0,
MTEXT,0,{\Fisocp|c0;45%%D},738359.9333499254,65584.28507506836,0.0,
MTEXT,0,27,734843.1295113666,65303.08889426013,0.0,
MTEXT,0,{\Fisocp|c0;-},736782.5025471207,65275.17419110729,0.0,
MTEXT,0,{\Fisocp|c0;01},738722.4799042228,65246.46642368207,0.0,
MTEXT,0,{\Fisocp|c0;SELF ACTUATING SWITCH LH},735642.5856286194,65224.92617987249,0.0,
MTEXT,0,{\Fisocp|c0;R-1000},737921.2016960005,65246.46642368229,0.0,
MTEXT,0,{\Fisocp|c0;45%%D},738359.9333499254,65246.46642368253,0.0,
MTEXT,0,29,734843.1295113666,64627.45159148848,0.0,
MTEXT,0,{\Fisocp|c0;-},736782.5025471207,64631.75017371184,0.0,
MTEXT,0,{\Fisocp|c0;01},738722.4799042228,64627.45159149035,0.0,
MTEXT,0,{\Fisocp|c0;CHAIN EXITE},735642.5856286194,64626.91161228674,0.0,
MTEXT,0,{\Fisocp|c0;R-1000},737921.2016960005,64627.45159149056,0.0,
MTEXT,0,{\Fisocp|c0;45%%D},738359.9333499254,64627.45159149081,0.0,
MTEXT,0,CHAIN EXIT R1000x45%%D,731972.147437512,94207.70611275602,0.0,
MTEXT,0,30,734843.129511367,64435.7460966942,0.0,
MTEXT,0,{\Fisocp|c0;-},736782.502547121,64440.04467891756,0.0,
MTEXT,0,{\Fisocp|c0;18},738722.4799042231,64435.74609669606,0.0,
MTEXT,0,{\Fisocp|c0;STOPPER},735642.5856286198,64435.20611749246,0.0,
MTEXT,0,{\Fisocp|c0;-},737921.2016960009,64435.74609669628,0.0,
MTEXT,0,{\Fisocp|c0;-},738359.9333499258,64435.74609669653,0.0,
MTEXT,0,33,734843.129511367,63612.07899750519,0.0,
MTEXT,0,{\Fisocp|c0;-},736782.502547121,63612.07899750705,0.0,
MTEXT,0,{\Fisocp|c0;03},738722.4799042231,63612.07899750705,0.0,
MTEXT,0,{\Fisocp|c0;TENSION UNIT TAKEUP SCREW TYPE},735598.5431043823,63558.99815760116,0.0,
MTEXT,0,{\Fisocp|c0;180%%D},738359.9333499258,63612.07899750752,0.0,
MTEXT,0,{\Fisocp|c0;R-1000},737921.201696001,63612.07899750774,0.0,
MTEXT,0,{\Fisocp|c0;TENSION UNIT TAKEUP SCREW TYPE},742322.6936048011,94426.4595819945,0.0,
MTEXT,0,{\Fisocp|c0;TENSION UNIT TAKEUP SCREW TYPE},772317.5220169015,87748.75469581944,0.0,
MTEXT,0,{\Fisocp|c0;TENSION UNIT TAKEUP SCREW TYPE},773315.4196788039,81199.03687911935,0.0,
MTEXT,0,{\Fisocp|c0;-},736782.5025471206,63024.8283147505,0.0,
MTEXT,0,{\Fisocp|c0;-},737443.9564893063,63024.8283147505,0.0,
MTEXT,0,{\Fisocp|c0;22},738722.4799042227,63024.8283147505,0.0,
MTEXT,0,{\Fisocp|c0;HANGERS},735364.5499271915,63024.8283147519,0.0,
MTEXT,0,{\Fisocp|c0;-},737921.2016960004,63024.82831475072,0.0,
MTEXT,0,{\Fisocp|c0;-},738359.9333499253,63024.82831475096,0.0,
MTEXT,0,35,734843.1295113665,63024.8283147491,0.0,
TEXT,0,LUBRICATION UNIT,735172.3749087892,62721.99864163944,0.0,73.77670286505676
TEXT,0,TRACK SUSPENSIONS,735160.4285078045,62478.58555107967,0.0,73.77670286505676
MTEXT,0,{\Fisocp|c0;01},738722.4799042228,62778.56963957705,0.0,
